trial,x,y,time
0,1715,552,0
0,1538,689,24
0,1702,546,94
0,1574,682,120
0,1697,546,156
0,1543,681,211
0,1699,542,241
0,1564,644,278
0,1674,544,301
0,1428,628,346
0,1567,522,368
0,1356,648,413
0,1478,516,442
0,1271,641,477
0,1474,546,507
0,1234,639,546
0,1486,583,579
0,1099,517,613
0,1504,593,647
0,914,416,677
0,1502,588,713
0,814,300,746
0,1595,592,794
0,728,221,814
0,1612,603,862
0,694,171,877
0,1697,608,931
0,696,155,947
0,1619,626,993
0,684,101,1014
0,1630,630,1064
0,713,85,1065
0,1684,663,1132
0,750,70,1146
0,1679,682,1195
0,734,52,1214
0,1651,699,1263
0,731,16,1278
0,1599,705,1331
0,738,42,1346
0,1640,729,1404
0,863,46,1412
0,1605,716,1470
0,847,61,1479
0,907,57,1545
0,919,71,1614
0,921,60,1679
0,887,91,1747
0,888,107,1814
0,877,112,1881
0,832,124,1958
0,806,104,2024
0,801,93,2090
0,791,90,2157
0,810,90,2224
0,812,93,2291
0,849,84,2358
0,884,107,2425
0,834,107,2492
0,771,115,2546
0,728,103,2616
0,714,102,2683
0,905,204,2752
0,1032,276,2828
0,1058,293,2891
0,1094,330,2960
0,1179,386,3027
0,1234,442,3093
0,1158,420,3160
0,1179,462,3226
0,1137,482,3294
0,1156,513,3369
0,1067,519,3457
0,953,475,3527
0,912,491,3594
0,936,504,3661
0,874,521,3728
0,883,501,3795
0,931,497,3862
0,979,517,3928
0,1063,521,3995
0,975,502,4056
0,998,505,4119
0,946,511,4186
0,852,521,4255
0,819,493,4322
0,677,504,4376
0,594,502,4438
0,555,500,4521
0,489,489,4587
0,500,466,4654
0,452,491,4721
0,424,496,4788
0,424,518,4855
0,394,496,4931
0,354,488,4997
0,312,483,5058
0,327,470,5120
0,276,484,5188
1,836,177,0
1,836,211,106
1,871,213,188
1,813,211,256
1,836,182,323
1,837,156,400
1,858,178,467
1,884,151,533
1,933,119,600
1,944,137,667
1,945,126,733
1,927,106,801
1,955,100,868
1,992,98,935
1,997,84,1001
1,1038,71,1068
1,986,49,1135
1,1024,46,1202
1,1048,40,1268
1,1080,45,1335
1,1037,77,1402
1,1015,92,1469
1,996,99,1535
1,1005,119,1603
1,998,62,1670
1,943,62,1737
1,822,53,1804
1,702,76,1863
1,541,92,1936
1,420,145,1992
1,381,182,2058
1,326,229,2127
1,285,255,2194
1,272,300,2261
1,258,359,2328
1,234,321,2395
1,284,318,2462
1,363,333,2528
1,396,325,2595
1,356,298,2662
1,627,330,2729
1,859,379,2796
1,1055,397,2862
1,1228,410,2929
1,1363,424,2996
1,1227,359,3063
1,1128,278,3130
1,1082,201,3197
1,1096,146,3264
1,1064,91,3330
1,1019,45,3397
1,929,33,3464
1,838,29,3531
1,782,31,3598
1,769,34,3664
1,795,44,3731
1,766,41,3798
1,826,50,3865
1,833,65,3932
1,836,91,3999
1,841,120,4065
1,800,103,4132
1,798,103,4199
1,819,101,4266
1,828,105,4331
1,789,85,4392
1,742,81,4466
1,753,83,4533
1,672,94,4593
1,750,91,4666
1,788,116,4733
1,772,142,4794
1,836,183,4859
1,785,170,4933
1,857,172,4993
1,852,122,5060
1,877,119,5135
1,866,106,5212
1,909,101,5282
1,982,113,5357
1,1083,95,5429
1,1118,96,5524
1,1145,93,5595
1,1030,67,5661
1,1023,98,5728
1,945,106,5797
1,916,87,5862
1,844,100,5929
1,868,97,5995
1,856,94,6062
1,859,90,6129
1,847,78,6196
1,896,40,6263
1,938,34,6330
1,937,48,6396
1,928,57,6464
1,878,154,6530
1,792,355,6597
1,762,487,6687
1,757,607,6756
1,717,716,6824
1,683,804,6898
1,718,868,6964
1,744,913,7031
1,789,971,7086
1,848,1015,7155
1,875,1030,7223
1,900,1047,7287
1,945,1061,7355
1,925,1036,7423
1,858,1011,7500
1,763,956,7566
1,662,924,7633
1,630,1006,7699
1,658,1033,7766
1,754,991,7832
1,743,966,7900
1,659,880,7967
1,692,848,8034
1,673,855,8101
1,726,798,8167
1,699,751,8235
1,730,711,8301
1,657,669,8368
1,617,605,8434
1,674,602,8502
1,791,649,8556
1,885,663,8625
1,984,678,8692
1,973,718,8757
1,1018,722,8825
1,959,761,8893
1,955,730,8960
1,929,775,9027
1,967,789,9094
1,984,821,9161
1,873,823,9227
1,827,826,9294
1,788,855,9361
1,788,893,9428
1,754,940,9495
1,713,958,9562
1,714,986,9628
1,769,1002,9695
1,858,984,9762
1,898,1008,9829
1,885,1018,9896
1,962,950,9963
1,1017,888,10030
1,937,856,10105
1,938,789,10172
1,934,818,10240
1,885,806,10307
1,856,836,10374
1,751,751,10440
1,722,772,10507
1,719,769,10574
1,708,772,10640
1,726,759,10707
1,810,774,10776
1,821,855,10841
1,792,900,10908
1,797,897,10980
1,805,936,11046
1,836,959,11107
1,836,971,11182
1,846,976,11265
1,860,1010,11332
1,849,999,11409
1,878,974,11484
1,879,994,11549
1,928,1007,11614
1,841,913,11687
1,819,881,11748
1,754,847,11813
1,790,849,11888
1,695,694,11954
1,574,557,12016
1,523,481,12094
1,443,373,12160
1,387,344,12235
1,374,277,12313
1,301,242,12381
1,226,215,12451
1,206,200,12517
1,246,159,12594
1,257,171,12661
1,344,164,12728
1,334,176,12795
1,368,166,12860
1,385,189,12929
1,385,227,12996
1,417,270,13063
1,485,288,13129
1,515,331,13196
1,573,316,13263
1,604,343,13330
1,606,314,13396
1,597,331,13464
1,560,347,13530
1,481,327,13598
1,485,315,13664
1,416,337,13731
1,357,320,13799
1,319,325,13865
1,308,277,13931
1,313,250,13998
1,308,270,14065
1,308,294,14132
1,294,293,14224
1,301,288,14299
1,263,326,14366
1,341,324,14432
1,381,347,14500
1,405,317,14567
1,468,291,14633
1,557,194,14700
1,664,114,14767
1,767,58,14834
1,820,39,14900
1,837,27,14967
1,884,23,15033
1,926,4,15100
1,973,-18,15168
1,1050,-38,15235
1,1306,46,15302
1,1483,127,15368
1,1628,205,15435
1,1758,252,15502
1,1783,341,15568
1,1722,366,15636
1,1705,386,15702
1,1736,419,15768
1,1768,446,15835
1,1730,423,15903
1,1697,414,15970
1,1659,395,16036
1,1636,393,16104
1,1595,382,16170
1,1543,362,16254
1,1510,356,16308
1,1471,327,16393
1,1430,364,16461
1,1443,356,16528
1,1436,335,16595
1,1462,329,16661
1,1490,331,16729
1,1478,305,16795
1,1454,330,16862
1,1403,322,16929
1,1325,347,16996
1,1301,360,17062
1,1330,392,17129
1,1325,360,17196
1,1335,389,17273
1,1390,391,17340
1,1278,402,17413
1,1185,370,17496
1,1105,372,17563
1,1043,359,17630
1,949,382,17697
1,898,380,17764
1,851,385,17829
1,786,354,17898
1,737,282,17965
1,705,275,18024
1,653,299,18097
1,604,326,18165
1,676,298,18224
1,704,281,18299
1,748,262,18387
1,752,263,18465
1,808,245,18526
1,778,237,18592
1,831,241,18664
1,851,230,18725
1,934,263,18792
1,893,305,18865
1,811,354,18926
1,794,356,18992
1,775,322,19059
1,793,319,19127
1,781,328,19194
1,747,322,19260
1,723,319,19328
1,679,322,19394
1,664,303,19460
1,678,300,19528
1,759,285,19595
1,810,304,19662
1,723,312,19728
1,619,305,19795
1,646,286,19862
1,699,291,19929
1,705,304,19995
1,659,290,20062
1,713,257,20129
1,825,234,20196
1,827,268,20263
1,859,253,20329
1,835,257,20396
1,842,270,20463
1,822,395,20529
1,640,530,20597
1,463,651,20664
1,265,814,20731
1,438,816,20799
1,491,732,20864
1,554,631,20930
1,642,581,20985
1,696,487,21055
1,818,485,21121
1,817,521,21188
1,860,609,21256
1,983,587,21321
1,939,656,21388
1,1010,740,21457
1,1123,793,21522
1,1191,850,21588
1,1214,753,21657
1,1133,724,21725
1,1185,737,21802
1,1249,688,21864
1,1224,740,21934
1,1258,718,22000
1,1104,680,22068
1,1057,676,22134
1,1029,707,22199
1,972,773,22267
1,992,801,22356
1,1003,766,22425
1,989,794,22502
1,938,666,22568
1,826,626,22663
1,759,508,22732
1,686,447,22802
1,649,447,22869
1,594,453,22935
1,547,461,23003
1,481,478,23078
1,477,416,23161
1,485,404,23231
1,401,347,23303
1,378,344,23391
1,341,336,23461
1,344,358,23528
1,374,354,23595
2,856,-67,0
2,861,-29,98
2,817,23,220
2,826,65,284
2,747,59,368
2,633,-23,451
2,717,-48,518
2,799,3,585
2,829,-25,651
2,912,33,711
2,986,85,783
2,1002,94,851
2,984,95,911
2,1055,129,984
2,1052,113,1052
2,1083,72,1134
2,1114,121,1218
2,1125,121,1279
2,1151,146,1374
2,1184,188,1440
2,1211,146,1507
2,1123,91,1579
2,998,143,1654
2,948,215,1731
2,896,278,1798
2,829,333,1869
2,738,402,1940
2,639,449,2013
2,558,458,2081
2,507,434,2148
2,489,412,2214
2,433,385,2281
2,455,344,2347
2,521,355,2414
2,506,310,2482
2,479,323,2548
2,457,343,2615
2,457,351,2682
2,513,356,2749
2,461,380,2815
2,510,408,2882
2,572,374,2949
2,566,316,3017
2,573,307,3083
2,515,308,3150
2,539,295,3217
2,603,288,3283
2,629,289,3350
2,610,266,3417
2,578,253,3484
2,547,240,3550
2,505,225,3617
2,461,223,3684
2,506,269,3750
2,578,300,3818
2,703,325,3883
2,919,330,3952
2,1039,367,4019
2,1182,387,4086
2,1332,413,4153
2,1374,392,4219
2,1389,348,4286
2,1495,338,4353
2,1438,317,4419
2,1477,325,4509
2,1465,359,4575
2,1455,396,4643
2,1474,430,4720
2,1470,490,4787
2,1446,548,4853
2,1413,588,4920
2,1453,610,4987
2,1396,571,5054
2,1500,577,5121
2,1502,556,5187
2,1478,543,5254
2,1493,506,5343
2,1521,486,5413
2,1471,482,5479
2,1519,465,5546
2,1562,420,5613
2,1491,380,5680
2,1440,335,5747
2,1402,315,5813
2,1394,297,5880
2,1111,248,5947
2,920,251,6014
2,676,284,6081
2,496,271,6147
2,268,262,6214
2,157,242,6281
2,86,266,6348
2,33,294,6415
2,-1,290,6482
2,20,321,6548
2,16,300,6615
2,85,335,6682
2,22,352,6749
2,57,379,6815
2,77,401,6882
2,97,411,6949
2,144,407,7016
2,209,441,7100
2,220,447,7183
2,196,430,7250
2,218,360,7317
2,274,359,7384
2,252,347,7451
2,259,314,7517
2,259,327,7584
2,239,307,7651
2,273,306,7717
2,285,270,7785
2,297,269,7867
2,290,268,7950
2,343,268,8011
2,349,232,8085
2,354,266,8171
2,408,258,8234
2,362,261,8312
2,492,372,8379
2,541,371,8453
2,628,473,8512
2,625,483,8580
2,734,517,8654
2,777,526,8742
2,958,636,8814
2,908,653,8880
2,955,729,8947
2,939,727,9013
2,890,731,9080
2,867,770,9147
2,799,707,9214
2,711,712,9281
2,703,777,9347
2,719,706,9414
2,671,732,9481
2,714,714,9547
2,761,749,9614
2,841,735,9681
2,787,746,9748
2,770,695,9815
2,741,706,9883
2,773,746,9949
2,834,771,10016
2,923,795,10084
2,945,794,10150
2,984,819,10216
2,1008,845,10283
2,1059,843,10356
2,1107,870,10443
2,1174,902,10517
2,1200,891,10584
2,1118,913,10651
2,1126,876,10717
2,1066,896,10785
2,1001,912,10851
2,953,924,10918
2,934,946,10985
2,904,931,11052
2,907,916,11119
2,889,912,11186
2,900,883,11252
2,842,850,11320
2,825,851,11386
2,905,819,11452
2,928,850,11520
2,912,820,11586
2,923,833,11653
2,970,807,11719
2,951,815,11787
2,891,655,11854
2,878,530,11921
2,854,416,11988
2,888,328,12054
2,849,247,12144
2,834,175,12212
2,802,102,12279
2,815,63,12356
2,808,44,12421
2,727,25,12488
2,666,27,12550
2,582,24,12610
2,528,57,12678
2,630,97,12746
2,662,71,12813
2,707,91,12880
2,668,119,12947
2,673,164,13014
2,593,180,13080
2,559,209,13147
2,507,249,13214
2,511,306,13281
2,536,344,13347
2,563,405,13414
2,595,481,13481
2,547,483,13548
2,619,531,13615
2,621,501,13682
2,631,461,13749
2,685,418,13815
2,764,353,13882
2,784,374,13949
2,818,378,14016
2,766,360,14083
2,776,321,14150
2,702,271,14216
2,772,237,14284
2,723,243,14359
2,668,230,14426
2,671,178,14499
2,637,177,14565
2,593,191,14627
2,573,237,14702
2,596,223,14769
2,647,243,14854
2,667,231,14924
2,793,225,15004
2,838,178,15067
2,842,242,15152
2,863,213,15235
2,871,219,15313
2,879,127,15379
2,848,193,15444
2,951,160,15534
2,967,124,15612
2,919,122,15679
2,862,156,15746
2,758,211,15843
2,734,248,15913
2,694,225,16004
2,643,254,16075
2,664,331,16147
2,589,369,16214
2,637,356,16281
2,731,375,16348
2,664,385,16446
2,684,427,16515
2,683,417,16581
2,779,499,16674
2,854,518,16741
2,825,531,16815
2,879,484,16882
2,926,548,16949
2,850,534,17015
2,907,545,17105
2,899,480,17174
2,916,469,17250
2,871,431,17316
2,922,417,17383
3,759,89,0
3,785,15,80
3,811,28,186
3,905,76,271
3,931,40,338
3,888,13,405
3,867,-16,472
3,764,-87,540
3,902,-25,621
3,790,74,722
3,723,166,804
3,688,189,881
3,677,243,949
3,630,257,1031
3,534,312,1104
3,489,385,1172
3,470,397,1250
3,529,372,1329
3,528,393,1407
3,528,313,1488
3,553,379,1557
3,534,442,1656
3,548,524,1734
3,518,535,1800
3,255,696,1874
3,108,754,1934
3,-180,1011,2001
3,-57,944,2075
3,33,851,2164
3,118,770,2235
3,259,707,2302
3,393,642,2395
3,494,587,2464
3,581,586,2535
3,608,544,2627
3,616,541,2696
3,625,518,2769
3,647,485,2837
3,692,459,2903
3,633,405,2970
3,657,355,3037
3,708,410,3104
3,679,401,3171
3,685,341,3237
3,700,344,3326
3,640,313,3397
3,662,323,3471
3,620,309,3537
3,618,277,3605
3,619,262,3672
3,661,254,3765
3,736,225,3839
3,740,214,3905
3,717,191,3994
3,629,178,4066
3,572,195,4139
3,537,206,4206
3,452,213,4273
3,394,223,4360
3,386,204,4429
3,346,190,4506
3,304,211,4595
3,336,194,4664
3,307,207,4741
3,345,177,4807
3,398,148,4894
3,464,193,4964
3,556,145,5031
3,649,136,5097
3,669,121,5165
3,690,135,5232
3,707,79,5298
3,734,41,5371
3,744,29,5442
3,719,36,5510
3,566,91,5578
3,368,107,5642
3,448,262,5731
3,459,266,5809
3,481,347,5877
3,462,354,5944
3,518,401,6010
3,525,466,6078
3,657,527,6144
3,645,581,6232
3,667,557,6301
3,572,557,6354
3,661,482,6435
3,714,515,6502
3,768,470,6569
3,781,505,6636
3,666,488,6702
3,725,541,6770
3,755,539,6837
3,725,514,6903
3,638,496,6970
3,643,444,7047
3,725,387,7112
3,688,406,7180
3,701,440,7267
3,719,451,7338
3,676,471,7404
3,719,502,7471
3,655,507,7538
3,624,471,7621
3,690,421,7704
3,586,403,7776
3,582,470,7847
3,691,520,7929
3,851,423,8007
3,911,506,8091
3,805,498,8176
3,826,473,8249
3,765,492,8328
3,724,454,8406
3,810,381,8490
3,859,348,8590
3,876,319,8697
3,877,358,8797
3,921,369,8875
3,815,382,8961
3,825,392,9034
3,810,370,9101
3,802,404,9168
3,791,430,9235
4,1462,230,0
4,1337,311,107
4,1119,285,233
4,1163,278,307
4,1112,232,374
4,1014,225,441
4,969,228,534
4,897,143,609
4,885,164,675
4,782,208,764
4,806,173,836
4,828,186,910
4,838,160,977
4,843,182,1043
4,769,214,1110
4,704,195,1176
4,641,222,1244
4,621,271,1310
4,569,293,1377
4,609,287,1444
4,428,236,1511
4,473,172,1578
4,594,85,1644
4,733,176,1711
4,612,244,1779
4,568,239,1845
4,685,240,1934
4,672,217,2002
4,646,215,2068
4,680,194,2146
4,759,181,2235
4,966,219,2303
4,1167,220,2370
4,1254,286,2447
4,1218,278,2513
4,1242,378,2580
4,1212,421,2647
4,1250,480,2713
4,1131,513,2801
4,1206,553,2869
4,1099,455,2938
4,1061,398,3005
4,1004,359,3071
4,988,375,3148
4,978,331,3215
4,1067,451,3282
4,1122,461,3348
4,1202,444,3437
4,1223,479,3506
4,1164,438,3573
4,1163,403,3640
4,1241,420,3706
4,1209,518,3773
4,1181,468,3840
4,1122,437,3916
4,1144,430,3983
4,1165,445,4072
4,1262,493,4141
4,1173,522,4208
4,1117,516,4275
4,1167,506,4351
4,1130,475,4418
4,1179,452,4507
4,1208,474,4575
4,1210,476,4652
4,1253,508,4718
4,1173,537,4809
4,1137,553,4876
4,1140,524,4959
4,1079,506,5046
4,1063,512,5143
4,1036,483,5219
4,1033,493,5303
4,1040,500,5376
4,1081,481,5467
4,1035,455,5544
4,809,464,5627
4,691,512,5727
4,648,510,5804
4,621,572,5871
4,528,620,5945
4,400,659,6017
4,299,681,6105
4,230,654,6171
4,387,649,6238
4,478,621,6305
4,545,529,6372
4,604,621,6439
4,614,611,6535
4,489,614,6633
4,297,584,6707
4,154,527,6774
4,107,472,6840
4,101,494,6935
4,103,428,7007
4,59,471,7097
4,110,355,7175
4,142,305,7240
4,91,321,7334
4,175,374,7408
4,133,390,7475
4,172,508,7542
4,264,553,7608
4,379,575,7674
4,303,563,7766
4,232,568,7842
4,426,489,7909
4,378,543,8000
4,432,533,8075
4,355,508,8167
4,377,499,8243
4,341,488,8310
4,297,505,8377
4,336,456,8444
4,446,422,8511
4,416,425,8578
4,395,462,8644
4,364,532,8734
4,292,553,8802
4,262,536,8878
4,185,544,8968
4,182,532,9041
4,114,523,9133
4,275,552,9202
4,342,504,9269
4,416,584,9346
4,490,509,9413
4,616,481,9479
4,713,464,9547
4,785,519,9614
4,868,591,9680
4,951,641,9767
4,992,681,9836
4,937,743,9904
4,963,782,9971
4,897,771,10048
4,859,753,10115
4,982,840,10181
4,956,945,10248
4,886,952,10338
4,893,945,10404
4,874,885,10472
4,841,782,10539
4,831,734,10606
4,800,665,10673
4,863,750,10749
4,868,773,10816
4,917,803,10905
4,948,846,10974
4,937,859,11041
4,958,899,11107
4,1064,951,11174
4,1022,912,11241
4,879,848,11308
4,927,843,11375
4,1013,814,11441
4,899,761,11508
4,871,741,11575
4,807,747,11652
4,776,752,11718
4,721,751,11791
4,689,776,11875
4,765,829,11952
4,731,901,12013
4,739,866,12109
4,578,854,12200
4,658,856,12297
4,720,825,12369
4,756,766,12466
4,800,682,12536
4,813,751,12603
4,876,749,12696
4,955,718,12770
4,967,744,12837
4,898,752,12929
